tripduration,starttime,stoptime,start Station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1644,21/09/2015 18:17,21/09/2015 18:45,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24688,Subscriber,1988,1
351,21/09/2015 18:17,21/09/2015 18:23,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24398,Subscriber,1982,1
445,21/09/2015 18:17,21/09/2015 18:25,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,24379,Subscriber,1985,2
154,21/09/2015 18:19,21/09/2015 18:22,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24614,Subscriber,1969,1
443,21/09/2015 18:19,21/09/2015 18:27,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24673,Subscriber,1986,2
501,21/09/2015 18:20,21/09/2015 18:28,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24536,Subscriber,1980,1
512,21/09/2015 18:20,21/09/2015 18:29,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24482,Subscriber,1982,1
586,21/09/2015 18:21,21/09/2015 18:31,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24445,Subscriber,1984,1
566,21/09/2015 18:22,21/09/2015 18:31,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24552,Subscriber,1984,1
134,21/09/2015 18:23,21/09/2015 18:25,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.0506564,24637,Subscriber,1981,1
321,21/09/2015 18:23,21/09/2015 18:29,3206,Hilltop,40.7311689,-74.0575736,3212,Christ Hospital,40.73478582,-74.05044364,24674,Subscriber,1990,1
658,21/09/2015 18:24,21/09/2015 18:35,3194,McGinley Square,40.72533993,-74.06762213,3185,City Hall,40.7177325,-74.043845,24489,Customer,,0
129,21/09/2015 18:24,21/09/2015 18:26,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24617,Subscriber,1970,1
1303,21/09/2015 18:26,21/09/2015 18:48,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24678,Subscriber,1991,1
749,21/09/2015 18:26,21/09/2015 18:38,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24512,Subscriber,1991,2
371,21/09/2015 18:27,21/09/2015 18:33,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,24635,Subscriber,1981,1
621,21/09/2015 18:28,21/09/2015 18:38,3203,Hamilton Park,40.72759597,-74.04424731,3214,Essex Light Rail,40.7127742,-74.0364857,24677,Subscriber,1970,1
218,21/09/2015 18:32,21/09/2015 18:36,3188,NJCU,40.7101087,-74.0858489,3189,West Side Light Rail,40.714402,-74.0887723,24604,Subscriber,1976,1
191,21/09/2015 18:32,21/09/2015 18:35,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24398,Subscriber,1985,1
207,21/09/2015 18:33,21/09/2015 18:37,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24546,Subscriber,1972,1
226,21/09/2015 18:34,21/09/2015 18:38,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24445,Subscriber,1981,2
623,21/09/2015 18:35,21/09/2015 18:46,3215,Central Ave,40.7467299,-74.0492509,3196,Riverview Park,40.7443187,-74.0439909,24568,Subscriber,1970,1
185,21/09/2015 18:37,21/09/2015 18:40,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24442,Subscriber,1978,1
194,21/09/2015 18:37,21/09/2015 18:41,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24552,Subscriber,1988,1
1217,21/09/2015 18:38,21/09/2015 18:58,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24450,Customer,,0
353,21/09/2015 18:38,21/09/2015 18:44,3209,Brunswick St,40.7241765,-74.0506564,3203,Hamilton Park,40.72759597,-74.04424731,24670,Subscriber,1970,1
207,21/09/2015 18:38,21/09/2015 18:42,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24632,Subscriber,1962,1
526,21/09/2015 18:39,21/09/2015 18:48,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24574,Subscriber,1992,2
400,21/09/2015 18:40,21/09/2015 18:46,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24401,Subscriber,1981,2
727,21/09/2015 18:40,21/09/2015 18:52,3185,City Hall,40.7177325,-74.043845,3214,Essex Light Rail,40.7127742,-74.0364857,24623,Subscriber,1974,1
965,21/09/2015 18:42,21/09/2015 18:58,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.7177325,-74.043845,24448,Subscriber,1985,1
291,21/09/2015 18:45,21/09/2015 18:50,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24555,Subscriber,1983,1
600,21/09/2015 18:45,21/09/2015 18:55,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,24422,Subscriber,1982,1
305,21/09/2015 18:45,21/09/2015 18:50,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24628,Subscriber,1989,1
579,21/09/2015 18:46,21/09/2015 18:56,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,24500,Subscriber,1983,1
345,21/09/2015 18:47,21/09/2015 18:53,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24401,Subscriber,1984,1
838,21/09/2015 18:48,21/09/2015 19:02,3195,Sip Ave,40.73074263,-74.06378388,3186,Grove St PATH,40.71958612,-74.04311746,24547,Subscriber,1982,1
581,21/09/2015 18:50,21/09/2015 19:00,3196,Riverview Park,40.7443187,-74.0439909,3215,Central Ave,40.7467299,-74.0492509,24582,Subscriber,1970,1
258,21/09/2015 18:51,21/09/2015 18:55,3195,Sip Ave,40.73074263,-74.06378388,3201,Dey St,40.737711,-74.066921,24467,Subscriber,1973,1
1864,21/09/2015 18:51,21/09/2015 19:22,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24505,Subscriber,1976,1
303,21/09/2015 18:52,21/09/2015 18:57,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,24617,Subscriber,1989,1
2219,21/09/2015 18:53,21/09/2015 19:30,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,24603,Subscriber,1977,1
657,21/09/2015 18:54,21/09/2015 19:05,3213,Van Vorst Park,40.71848892,-74.04772663,3203,Hamilton Park,40.72759597,-74.04424731,24442,Subscriber,1976,2
319,21/09/2015 18:58,21/09/2015 19:03,3185,City Hall,40.7177325,-74.043845,3211,Newark Ave,40.72152515,-74.04630454,24688,Subscriber,1968,1
478,21/09/2015 18:59,21/09/2015 19:07,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24706,Subscriber,1967,1
247,21/09/2015 18:59,21/09/2015 19:03,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,24694,Subscriber,1987,1
686,21/09/2015 18:59,21/09/2015 19:11,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,24521,Subscriber,1993,1
282,21/09/2015 19:02,21/09/2015 19:07,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.7177325,-74.043845,24547,Subscriber,1980,1
547,21/09/2015 19:04,21/09/2015 19:13,3202,Newport PATH,40.7272235,-74.0337589,3213,Van Vorst Park,40.71848892,-74.04772663,24597,Subscriber,1991,1
1739,21/09/2015 19:04,21/09/2015 19:33,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,24444,Customer,,0
1745,21/09/2015 19:05,21/09/2015 19:34,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,24448,Subscriber,1985,1
201,21/09/2015 19:06,21/09/2015 19:09,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,24523,Subscriber,1986,1
191,21/09/2015 19:06,21/09/2015 19:09,3184,Paulus Hook,40.7141454,-74.0335519,3214,Essex Light Rail,40.7127742,-74.0364857,24483,Subscriber,1982,1
521,21/09/2015 19:07,21/09/2015 19:16,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,24618,Subscriber,1983,2
1309,21/09/2015 19:08,21/09/2015 19:29,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,24489,Subscriber,1980,1
948,21/09/2015 19:11,21/09/2015 19:27,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24567,Subscriber,1991,1
719,21/09/2015 19:13,21/09/2015 19:25,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,24387,Subscriber,1962,1
408,21/09/2015 19:16,21/09/2015 19:23,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,24488,Subscriber,1979,1
216,21/09/2015 19:17,21/09/2015 19:21,3185,City Hall,40.7177325,-74.043845,3183,Exchange Place,40.7162469,-74.0334588,24450,Subscriber,1983,1
